country;year;season;env;location;rep;plot;gen;check;yield;prot;oil;plant;harvest;lat;lon;elev
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;100;TIKOLORE;Yes;1673.86;38.95;21.29;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;101;TGx200113DM;No;1088.14;40.59;21.4;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;102;S107967;No;720.28;38.27;23.04;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;103;TGx20013FM;No;702;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;104;Lukanga;No;188.87;36.11;23.08;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;105;Jenguma;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;106;TGx199122F;No;2788.11;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;107;MAKSOY5N;No;1844.66;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;108;TGx198818F;No;2802.26;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;1;Quarshie;No;1131.54;43.65;18.76;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;2;TGx20145GM;No;1650.99;33.92;23.36;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;3;TGx198818F;No;2155.85;36.12;20.73;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;4;NASOKO;Yes;1904.6;34.79;22.64;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;5;TGx200113DM;No;2677.66;37.04;21.91;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;6;MAKSOY3N;No;1948.99;32.22;23.56;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;7;S11395120;No;1801.25;31.62;23.37;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;8;S1141538;No;1603.64;31.71;25.75;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;9;TGx20018DM;No;2097.09;33.16;24.06;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;10;TGx199122F;No;3305.18;37.76;21.55;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;11;MAKSOY1N;No;1230.83;35.57;20.62;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;12;S1075693;No;2203.79;30.9;24.89;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;13;MAKSOY4N;No;1840.51;32.99;23.14;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;14;TGx198762F;No;2707.13;36.97;21.71;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;15;SuongPungun;No;1485.93;41.47;19.54;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;16;TGx200223DM;No;1504.85;31.15;25.37;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;17;Lukanga;No;1979.26;28.8;25.34;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;18;Afayak;No;1118.97;36.31;21.14;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;19;TGx20011DM;No;1434.48;32.33;23.86;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;20;TGx200214DM;No;1968.02;29.8;24.03;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;21;Kaleya;No;1504.62;31.46;25.14;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;22;MAKSOY2N;No;1811.66;31.78;25.46;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;23;Jenguma;No;1283.76;38.97;19.78;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;24;Songda;No;1205.77;43.1;18.31;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;25;TGx20013FM;No;1656.67;32.94;24.45;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;26;SalintuyaI;No;414.31;42.03;18.7;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;27;TIKOLORE;Yes;3112.43;36.18;21.37;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;28;MRIDINA;No;2211.52;35.71;23.36;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;29;S107967;No;1759.67;30.27;24.87;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;30;MAKSOY5N;No;2810.11;39.4;21.57;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;31;Makwacha;Yes;1851.38;32.27;24.21;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;32;TGx201419FM;No;2422.07;34.25;24.3;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;33;SCSERENADE;No;2349.41;31.78;24.53;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;34;TGx200124DM;No;2024.83;33.13;23.45;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;35;TGx198960F;No;1629.44;34.68;22.8;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;1;36;TGx200110DM;No;1929.1;35.47;21.66;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;37;Makwacha;Yes;1502.78;33.8;23.36;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;38;MAKSOY1N;No;1497.8;35.55;20.66;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;39;Lukanga;No;1903.45;32.52;23.62;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;40;TGx20145GM;No;1816.08;32.03;23.72;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;41;NASOKO;Yes;2200.06;34.09;22.46;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;42;Kaleya;No;2492.42;33.26;24.15;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;43;MAKSOY4N;No;1737.5;34.69;22.84;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;44;TGx20018DM;No;1748.66;31.13;24.97;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;45;TGx20013FM;No;2143.16;33.96;22.84;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;46;TGx198762F;No;2869.12;36.45;20.7;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;47;MAKSOY3N;No;1506.27;34.83;23.47;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;48;TGx198818F;No;1945.75;37.67;20.61;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;49;TGx200124DM;No;1718.63;32.64;23.91;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;50;MRIDINA;No;1865.32;31.75;23.7;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;51;MAKSOY2N;No;1842.4;33.21;24.49;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;52;Afayak;No;1669.28;37.71;20.82;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;53;TGx199122F;No;2327.17;36.56;22.37;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;54;MAKSOY5N;No;1597.95;36.53;22.77;12/21/2017;5/25/2018;-12.933333;33.466667;972
Malawi;2017;2;S17_2_MW_PYX3;ChilangaPYX;2;55;TIKOLORE;Yes;1824.25;37.1;21.19;12/21/2017;5/25/2018;-12.933333;33.466667;972
